year,Value,Units,variable_code
2021,Level 3,OO21,Percentage
2021,Level 3,OO21,Percentage
2021,Level 3,OO21,Percentage
2021,Level 4,OO213,Dollars (millions)
2021,Level 4,OO213,Dollars (millions)
2021,Level 4,OO213,Dollars (millions)
2021,Level 4,OO213,Dollars (millions)
2021,Level 4,OO213,Dollars (millions)
2021,Level 4,OO213,Dollars (millions)
2021,Level 4,OO213,Dollars (millions)
2021,Level 4,OO213,Dollars (millions)
2021,Level 4,OO213,Dollars (millions)
2021,Level 4,OO213,Dollars (millions)
2021,Level 4,OO213,Dollars (millions)
2021,Level 4,OO213,Dollars (millions)
2021,Level 4,OO213,Dollars (millions)
2021,Level 4,OO213,Dollars (millions)
2021,Level 4,OO213,Dollars (millions)
2021,Level 4,OO213,Dollars (millions)
2021,Level 4,OO213,Dollars (millions)
2021,Level 4,OO213,Dollars (millions)
2021,Level 4,OO213,Dollars (millions)
2021,Level 4,OO213,Dollars (millions)
2021,Level 4,OO213,Dollars (millions)
2021,Level 4,OO213,Dollars (millions)
2021,Level 4,OO213,Dollars (millions)
2021,Level 4,OO213,Dollars (millions)
2021,Level 4,OO213,Dollars (millions)
2021,Level 4,OO213,Dollars (millions)
2021,Level 4,OO213,Percentage
2021,Level 4,OO213,Percentage
2021,Level 4,OO213,Percentage
2021,Level 4,OO213,Percentage
2021,Level 4,OO213,Percentage
2021,Level 1,PP,H01
2021,Level 1,PP,H05
2021,Level 1,PP,H06
2021,Level 1,PP,H07
2021,Level 1,PP,H08
2021,Level 1,PP,H09
2021,Level 1,PP,H10
2021,Level 1,PP,H11
2021,Level 1,PP,H12
2021,Level 1,PP,H13
2021,Level 1,PP,H19
2021,Level 1,PP,H20
2021,Level 1,PP,H21
2021,Level 1,PP,H22
2021,Level 1,PP,H23
2021,Level 1,PP,H24
2021,Level 1,PP,H25
2021,Level 1,PP,H26
2021,Level 1,PP,H27
2021,Level 1,PP,H28
2021,Level 1,PP,H29
2021,Level 1,PP,H30
2021,Level 1,PP,H31
2021,Level 1,PP,H32
2021,Level 1,PP,H33
2021,Level 1,PP,H36
2021,Level 1,PP,H37
2021,Level 1,PP,H39
2021,Level 1,PP,H40
2021,Level 1,PP,H41
2021,Level 4,PP111,H01
2021,Level 4,PP111,H05
2021,Level 4,PP111,H06
2021,Level 4,PP111,H07
2021,Level 4,PP111,H08
2021,Level 4,PP111,H09
2021,Level 4,PP111,H10
2021,Level 4,PP111,H11
2021,Level 4,PP111,H12
2021,Level 4,PP111,H13
2021,Level 4,PP111,H19
2021,Level 4,PP111,H20
2021,Level 4,PP111,H21
2021,Level 4,PP111,H22
2021,Level 4,PP111,H23
2021,Level 4,PP111,H24
2021,Level 4,PP111,H25
2021,Level 4,PP111,H26
2021,Level 4,PP111,H27
2021,Level 4,PP111,H28
2021,Level 4,PP111,H29
2021,Level 4,PP111,H30
2021,Level 4,PP111,H31
2021,Level 4,PP111,H32
2021,Level 4,PP111,H33
2021,Level 4,PP111,H36
2021,Level 4,PP111,H37
2021,Level 4,PP111,H39
2021,Level 4,PP111,H40
2021,Level 4,PP111,H41
2021,Level 4,PP112,H01
2021,Level 4,PP112,H05
2021,Level 4,PP112,H06
2021,Level 4,PP112,H07
2021,Level 4,PP112,H08
2021,Level 4,PP112,H09
2021,Level 4,PP112,H10
2021,Level 4,PP112,H11
2021,Level 4,PP112,H12
2021,Level 4,PP112,H13
2021,Level 4,PP112,H19
2021,Level 4,PP112,H20
2021,Level 4,PP112,H21
2021,Level 4,PP112,H22
2021,Level 4,PP112,H23
2021,Level 4,PP112,H24
2021,Level 4,PP112,H25
2021,Level 4,PP112,H26
2021,Level 4,PP112,H27
2021,Level 4,PP112,H28
2021,Level 4,PP112,H29
2021,Level 4,PP112,H30
2021,Level 4,PP112,H31
2021,Level 4,PP112,H32
2021,Level 4,PP112,H33
2021,Level 4,PP112,H36
2021,Level 4,PP112,H37
2021,Level 4,PP112,H39
2021,Level 4,PP112,H40
2021,Level 4,PP112,H41
2021,Level 4,PP113,H01
2021,Level 4,PP113,H05
2021,Level 4,PP113,H06
2021,Level 4,PP113,H07
